index_redacao,prompt,title,essay,c1,c2,c3,c4,c5,score
2,78,"A reforma do ensino deve envolver qualidade, não apenas mudanças ao acaso","['Uma das frases mais conhecida  do filósofo brasileiro Paulo Freire é: “Se a educação', 'sozinha não transforma a sociedade, sem ela tampouco a sociedade muda”. Tal assertiva', 'traz uma visão ampla acerca da enorme importância da educação para o desenvolvimento', 'econômico e social de um país . Entretanto, no Brasil a educação esta sucateada  e o índice', 'de jovens que não estudam e  alarmante . (1) Logo, toda sociedade espera na reforma do ensino', 'médio, colocada  pelo governo, reverter essa situação .', 'Antes de mais nada, o Brasil ocupa oitava posição na economia mundial. É para', 'imagina que ele possui uma educação de qualidade mas a realidade e desesperadora . O', 'país investe menos de 10% do PIB na educação, os professores recebem salários baixíssimos e', 'o número de vagas nas universidade  publicas  e irrisório . E,  para piora, foi aprovada no fim do', 'ano passado, a PEC 241 que vai limitar os investimentos na educação nos próximos vinte anos.', 'Esse caos é refletido na pouca velocidade na qual nosso país cresce, e no número de brasileiros', 'que vão busca melhores condição  de vida no exterior.', 'Por outro lado, o governo federal, buscando contornar essa crise , esta  propondo a', 'reforma do ensino médio, através da unificação de todas as disciplina  em quatro áreas:', 'Ciências Humanas, Ciências da Natureza, Linguagem e Matemática; (3) e também a retirada da', 'disciplina como Filosofia, Sociologia e Educação Física. Todavia, essa estratégia esta fadada ao', 'fracasso, uma vez que ela não ataca a raiz do problema que é a péssima estrutura e', 'qualidade de ensino que é oferecida na rede pública . Assim como, a corrupção que desvia', 'bilhões de reais da educação.', 'Infere-se, portanto, que o ensino médio não necessita de mudanças em suas disciplinas,', 'mais sim na administração e gestão orçamentária. Nessa perspectiva, cabe aos governos', 'estaduais elaborar um plano de carreira para os professores baseado na meritocracia , ou seja', 'quanto maior for o rendimento da turma maior a renumeração do docente . Do mesmo modo,', 'o governo federal deve investir 10% do PIB na educação. Isso poderá cria mais vagas nas', 'universidades, instalar equipamento pedagógico modernos e aulas em tempo integral em', 'todas as escolas públicas. Por fim os empresários devem investir mais em pesquisas nas', 'universidades para que muitos estudantes tenham a oportunidade de evoluir seu', 'conhecimento e gerar tecnologia. Só assim poderemos ver a mudança sonhada pelo', 'educador Paulo Freire.']",40,40,40,40,40,200
5,7,Revolução econômica moderna,"['', 'Com o passar dos anos anos, a tecnologia cada vez mais toma espaço em setores da vida cotidiana, o cotidiana e o dinheiro não ficaria fora disso. A criação do bitcoin em 2009 está abrindo portas para uma revolução econômica moderna.', 'A criptomoeda chega para ultrapassar os bancos convencionais onde convencionais, em que o governo exerce um forte controle estatal controle, através da emissão de moedas tradicionais no sistema financeiro atual tradicionais. Por sua independência, os governos de todo o mundo ainda não sabem como regulamentar esse tipo de moeda, visando que tornaria seu controle obsoleto.', 'Contudo, sua anatomia é o que conquista, agilizando transações econômicas, o econômicas. O sistema ""blockchain"" é formado por uma cadeia de blocos trancados por uma forte camada de criptografia, que torna impossível invadir esses recipientes, assegurando também que as moedas não sejam utilizadas mais de uma vez e cheguem ao destino certo.', 'Esse sistema, uma espécie de livro contábil contábil, registra as transações de recebimento e envio de valores da em criptomoeda, garantindo a segurança desejada pelos consumidores. A criptomoeda ainda não tem uma definição exata, mas veio para divergir o sistema financeiro mundial.']",80,0,0,0,0,80
6,33,Educação,"['Absurdamente nossos governantes vem cometendo mais erros na área educacional, os quais poderão levar mais ao fundo do poço os índices de evasão escolar de nossos estudantes. Para melhorar esses índices são necessárias muitas outras ações a nível social e educacional que acrescentem e não retirem nada do que já conquistamos.', 'Neste tempo em que os estudantes ficam a maior parte de seu tempo conectados aos meios tecnológicos e sendo assim não praticam exercícios físicos, é imprescindível ofertar a eles a prática esportiva e a oportunidade para desenvolver habilidades artísticas.', 'Outros dois equívocos são: acreditar que temos estrutura física disponível para trabalhar em tempo integral em todos os estabelecimentos educacionais do país e não observar que nossa clientela vem de famílias carentes, que vislumbram a entrada no Ensino Médio e a possibilidade de trabalhar meio período para colaborar com a renda familiar.', 'Enquanto os que tem o poder de melhorar os aspectos educacionais estiverem se pronunciando com “notório saber”, sem conhecer nossas realidades e reais necessidades, estaremos, infelizmente, a um passo de piorar ainda mais a educação de nosso país.']",80,0,0,0,0,80
11,36,Escravizar,"['Escravizar é o ato de forçar as pessoas a fazerem atividades trabalhistas contra sua própria vontade . Após a lei áurea, em 1888, (lei que aboliu o trabalho escravo no Brasil)  escravos de todo o Brasil,  ganharam sua carta de alforria justamente para libertar-se desse tipo de exploração trabalhista. Mas, em pleno o século XXI, infelizmente, ainda existe o trabalho escravo . As pessoas mais atingidas com a escravidão na era contemporânea são as classes de famílias pobres, por não possuírem recursos financeiros, essas pessoas se rendem a fazerem trabalhos que exigem normas desconhecidas pelos direitos trabalhistas.', 'Com a perspectiva de vida melhor, muitos submetem-se a à exploração e aceitam condições desumanas ao suposto trabalho . Indivíduos sem condições financeiras, se sujeitam a toda e qualquer proposta de emprego, mal remunerado, e que ultrapassam os limites da jornada de trabalho e das leis trabalhistas.', 'Normalmente, pessoas que sofrem com especulações trabalhistas, passam por situações constrangedoras, como: Abusos sexuais, traumas psicológicos, agressões física e mental, entre outros. E por medo de perder o emprego viram submissos a essas situações desconfortante .', 'Famílias de baixa renda são os mais vulneráveis a exploração trabalhista, por não terem condições financeiras viram reféns do abuso trabalhista. O trabalhador, é sujeito a fazer esforço excessivo e de sobre carga para conseguir sustentar mais dias no suposto trabalho.', 'Com a escravidão durante o século atual, os direitos trabalhistas são deixados de lado pelo os empregadores. O reforço do governo nos direitos trabalhistas e na fiscalização de empresas e micro empresas, colocariam em extinção o trabalho escravo. O aumento na taxa de exploração nas empresas atuais elevam-se a cada ano, e se não tiver um porta-voz para combater esse crime aos direitos humanos teremos pessoas se ""acabando"" de trabalhar para ganhar um salário desmerecido.']",80,0,80,0,80,240
17,25,A muitos anos atrás era considerado que os LGBT não passava de uma doença,"['A muitos anos atrás era considerado que os LGBT não passava de uma doença e ninguem aceitavam isso na sociedade.', 'Hoje o que mais vimos no mundo são esses tipos de gêneros em todo lugar.', 'O número de LGBT está crescendo cada vez mais, e não se passa de uma doença. As pessoas simplesmente gosta e sente prazer no mesmo gênero.', 'As manifestações está muito presentes á algum tempo, e vem cada dia mais aumentando , eles, estão buscando os seus direitos e serem reconhecidos pela sociedade e não vão descançar até conquita-los .', 'Como vimos começaram a falar da ""cura gay"", será mesmo que realmente tem há uma cura e que não se passa de uma doença? Se fosse assim muitos já tinham se curado, isso vem de dentro e de escolha sexual, e todos devemos aceitar e respeitar o próximo.', 'Portanto, devemos nos concientizar , para rever essa situação, julgando ou proibindo de ser o que somos não será uma solução. Cada um de nós merecemos ser o que realmente queremos para nossa vida, temos o livre direito de escolha, e precisamos de apoio e não de semos tratados de formas desigual por conta da nossa escolha de gênero.']",80,80,80,0,80,320
18,5,Agrotóxicos são polêmicos,"['Agrotóxicos são polêmicos, alguns polêmicos: alguns falam que é são um mal necessário para defender os campos agrículas , outros que são compostos carcicogênicos que são totalmente desnecessários para a presevervação do meio agrícola agrícola.', 'E realmente existem produtos sem pesticidas artificiais, que são chamados de orgânicos e para identificar esses produtos tem um selo em todos os produtos orgânicos, existem produtos com uma menor adição de agrotóxicos que são menos prejudiciais. Mas mesmo assim contém Mas, mesmo assim, contêm agrotóxicos, e tanto os produtos orgânicos quanto os com menos adição de agrotóxicos possuem uma melhor qualidade para a comida e o paladar, e uma qualidade bem melhor para a saúde. Principalmente os orgânicos que não tem têm a capacidade de causar câncer por causa de não terem a adição de pesticidas, por pesticidas. Por outro lado lado, vendo pela economia economia, os agrotóxicos são ótimos, pois eles conservam e protegem o campo agrícola e são baratos, já fazendo uma plantação orgânica o custo é muito mais alto. E o tempo para produzir os campos agrícolas sem pesticidas demora muito mais.', 'Então Então, é algo muito complicado, pois para a saúde saúde, os pesticidas são péssimos, já para a economia são muito benéficos, o benéficos. O melhor jeito de criar um consenso entre a economia e a saúde saúde, seria diminuir o uso de agrotóxicos, usar agrotóxicos cientificamente comprovados que fazem menos mal, ou usar um jeito de conservar o meio agrícula de uma forma orgânica e barata.']",80,80,40,40,80,320
20,12,Entre o decretado e o obedecido,"['Muito se discute, atualmente, no Brasil, a respeito do civismo nacional. Não obstante, o Ministério da Educação viabilizou uma ação na qual as escolas teriam a obrigatória missão de fazer com que seus estudantes cantassem o famoso hino nacional. Não bastasse o cântico, os alunos também deveriam ser gravados cantando-o ao cantá-lo, fato esse que despertou um sentimento de revolta nos pais, que viram essa imposição como invasiva e autoritária. Nesse sentido, observa-se a paralela questão, no que tange a cantar ou não o hino, e se é pelo civismo, o que mudaria?', 'É válido salientar, que salientar que a Lei 12.031 de 2009, hodiernamente vigente pela Constituição de 1988, prevê o hasteamento da bandeira nacional acompanhado da declamação do hino brasileiro. Contudo, observa-se o descaso pela mesma, que em apenas poucas escolas é posta em prática que é posta em prática apenas em poucas escolas, evidenciando assim, se não senão a despreocupação, a noção de a inutilidade do ato, sendo que pode ser considerado uma perda de tempo e que não desperta sequer um sentimento cândido pelo país. Torna-se claro então, que então que, mesmo estabelecido por Lei lei, o cantar do hino por muitos é considerado uma prática ineficiente no que se refere ao despertar do amor pátrio, além de ser visto como uma ação obsoleta.', 'Destarte, no período em que vigorava o Regime Militar - época em que o canto solene já era obrigatório -, tem-se havia um profundo sentimento de recusa ao que concerne a à melodia pátria, pois nesses anos o tinham como uma obrigação e não um ato nacionalista. Além disso, enxergavam-o como uma forma de glorificar o país, mesmo ele anulando inúmeros direitos cidadãs, fato que desagradava os cidadãos, a exemplo da institucionalização do AI-5. Nesse viés, faz-se visível que a imposição, sem a devida concordância da civilização, fomenta a na declamação um caráter autoritário e não democrático.', 'Desse modo, diante do problemático questionamento acerca do ato de cantar o hino nas escolas, é necessário que haja uma breve discussão, no que refere-se a vocaliza-lo se refere a vocalizá-lo, entre todos àqueles aqueles que compõem a nação brasileira. É viável também, que também que o Ministério da Educação se retrate ante a sociedade, desvinculando a solicitação feita às instituições de ensino. Paralelo Paralelamente a isso, é preciso que os meios de comunicação, por meio da sua influência, divulgue divulguem o lado positivo de se declarar a melodia, com o fito de se reconstruir uma nova imagem do ato pátrio, que pode sim, servir-se pode, sim, servir como um gesto cívico de respeito à nação se tomadas as devidas providências.']",80,80,40,80,40,320
28,35,"Direita, esquerda... Mas e a educação?","['Desde o ano de 2004, existe um programa chamado de ""Escola Sem Partido"", que visa abolir temas socialmente políticos das escolas. Tal programa teria sido criado na intenção de desinibir a formação de alunos politizados de acordo com a visão e os argumentos do professor.', 'Como pode o próprio governo querer tirar o direito do educador, professor, da criança e do adolescente de debater e opinar sobre a atual política do país, quando na verdade, nada seria mais justo e correto do que a criação de uma matéria escolar cujo o foco fosse a política brasileira.', 'Contudo, a questão da educação no Brasil deixa muito a desejar, uma vez que pesquisas feitas pelo ministério da educação neste ano de 2016 mostram que os estudantes brasileiros lideram o ranking de mais desordeiros em sala de aula, do mundo.', 'A solução mais sensata nessa questão politico-educacional, seria a de uma reforma política para que, quem sabe assim, não mudassem as leis que regem o país e dispusessem de matérias escolares mais eficazes para a construção do caráter político desses jovens.']",80,80,80,80,80,400
29,39,Dilma vs. Impeachment,"['No mês de abril esta acontecendo uma grande discussão, sobre a mandato de Dilma. Onde a maioria do povo quer ela fora do governo.', 'atualmente no Brasil, a uma grade discussão sobre o mandato da presidente Dilma Rousseff, muitos querem ela fora do governo Brasileiro, já outros ainda querem que ela governo o Brasil. o Governo de Dilma teve suas vitória e derrotas. No nordeste ela realizou o sonho que muitos nordestinos com a minha casa minha vida , um sonho da casa própria que parecia muito distante para muitos nordestinos, um sonho que a presidenta Dilma realizou nesses anos em que ela governa o Brasil. O governo de Dilma Rousseff teve outro ponto forte com os Nordestinos e com os brasileiros, que foi o Bolsa Família, um programa social que trouxe muito alivio para muitas famílias Brasileiras . O programa busca garantir a essas famílias o direito à alimentação e o acesso à educação e à saúde, em todo o Brasil, mais de 13,9 milhões de famílias são atendidos pelo bolsa família .', 'Mais não foi só vitorias que o governo da Dilma teve, ate porque, não é atoa que querem ela fora do governo do Brasil, em denuncia apresentada a Câmera Federal , querem o afastamento da presidenta pela pratica de crime de responsabilidade. também,  é impossível negar a relação estreita de Dilma com os principais envolvidos na operação lava-jato(a operação lava-jato é a principal operação contra a corupsão), onde muitos já foram presos e condenados. a presidenta Dilma tenta se defender, falando que impeachment sem crime de responsabilidade é golpe, mas muitos advogados rejeita esses argumentos, segundo eles, sobra crimes de responsabilidade contra a presidenta Dilma Rousseff.', 'Mesmo com toda essa discussão, a presidenta Dilma Rousseff diz que não a base para o impeachment e que não quer renuncia . Dilma, numa entrevista com os jornalistas, elas respondeu algumas perguntas, e repetiu o que ela já havia dito aos reitores, que não pretende renuncia. e reclama de golpe contra ela, voltando a falar que impeachment sem crime de responsabilidade é golpe.', 'Com toda essa discussão sobre o impeachment, eu como estudante, quero sim o afastamento de Dilma, para que a minha geração construa um Brasil melhor e mais forte.']",80,120,120,80,0,400
38,4,Prisão precoce!,"['Atualmente o número de processos criminais no Brasil é muito grande, com isso grande. Com isso, a prisão após a condenação do réu em 2ª instância, se instância se torna insensata, pois as prisões brasileiras estão superlotadas, e superlotadas e esse fato supracitado só piora tal situação.', 'Em primeiro lugar lugar, devemos destacar que uma decisão nesse sentido favorece a injustiça. Além disso disso, no direito penal brasileiro existe um grande número de recursos que devem ser respeitados. Uma respeitados, uma vez que é direito do réu permanecer em liberdade até que se esgotem todos os recursos disponíveis.', 'Dessa maneira maneira, para mudar a realidade do nosso país país, o Governo Federal deve criar leis que proíbam a prisão em 2ª instância. Como disse Desmóstenes : ""É necessário que os princípios de uma política sejam justos e verdadeiros"", Ou ou seja, deve ser preso quem realmente merece ser preso!', '']",80,80,80,80,80,400
