index_redacao,score,c1,c2,c3,c4,c5,pred_c1,pred_c2,pred_c3,pred_c4,pred_c5,pred_total,ok,modelo,modo,ts,raw
2,200,40,40,40,40,40,120.0,160.0,120.0,120.0,160.0,680.0,1,gemini-3.5-flash-lite,mts,2026-09-03T18:27:42+00:00,"C1: A redação apresenta domínio mediano da norma culta, com desvios pontuais de pontuação (vírgulas separando sujeito e predicado), acentuação ('esta', 'universidade publicas', 'piora', 'condição', 'renumeração', 'equipamento pedagógico modernos') e concordância. No entanto, a estrutura sintática é predominantemente complexa e o registro formal é mantido. || C2: A redação apresenta boa compreensão da proposta, desenvolvendo o tema sob o viés dissertativo-argumentativo com projeto de texto claro "
5,80,80,0,0,0,0,120.0,120.0,120.0,120.0,0.0,480.0,1,gemini-3.5-flash-lite,mts,2026-09-03T18:28:31+00:00,"C1: O texto apresenta estrutura sintática produtiva e bom domínio da norma culta, embora contenha desvios pontuais de pontuação, como o uso inadequado de vírgulas separando elementos que não devem ser apartados, e pequenas repetições lexicais. || C2: O texto apresenta o tema das criptomoedas e desenvolve o tipo textual dissertativo-argumentativo, embora a estrutura argumentativa ainda seja mediana e apresente alguns trechos com traços predominantemente informativos. A compreensão da proposta é a"
6,80,80,0,0,0,0,120.0,120.0,80.0,80.0,0.0,400.0,1,gemini-3.5-flash-lite,mts,2026-09-03T18:29:57+00:00,"C1: O texto apresenta estrutura sintática mediana e desvio pontual de regência e concordância (como a ausência de crase em 'a um passo'). O registro é predominantemente formal, mas apresenta termos informais para o gênero dissertativo-argumentativo, como 'ao fundo do poço'. || C2: O texto apresenta estrutura dissertativo-argumentativa com introdução, desenvolvimento e conclusão, além de desenvolver o tema da educação. No entanto, o repertório sociocultural é ausente ou não legitimado, o que limi"
11,240,80,0,80,0,80,80.0,120.0,80.0,80.0,40.0,400.0,1,gemini-3.5-flash-lite,mts,2026-09-03T18:30:32+00:00,"C1: O texto apresenta desvios gramaticais medianos e frequentes, como problemas de pontuação (vírgulas separando sujeito e predicado), desvios de concordância e regência ('submetem-se a à', 'pelo os'), além de falhas na estrutura sintática e escolha de registro. || C2: O texto apresenta estrutura dissertativo-argumentativa com introdução, desenvolvimento e conclusão, além de desenvolver o tema do trabalho escravo contemporâneo. No entanto, há repetições excessivas de argumentos e repertório soci"
17,320,80,80,80,0,80,40.0,80.0,40.0,40.0,0.0,200.0,1,gemini-3.5-flash-lite,mts,2026-09-03T18:31:24+00:00,"C1: O texto apresenta inúmeros desvios gramaticais graves, incluindo falhas crassas de ortografia ('concientizar', 'descançar', 'conquita-los'), graves erros de concordância ('A muitos anos', 'ninguem aceitavam', 'pessoas simplesmente gosta', 'manifestações está', 'merecemos', 'desemos'), pontuação inadequada e problemas recorrentes de regência e estrutura sintática. || C2: O texto apresenta estrutura dissertativo-argumentativa embrionária, com traços marcantes de progressão precária e forte mar"
18,320,80,80,40,40,80,40.0,120.0,80.0,80.0,0.0,320.0,1,gemini-3.5-flash-lite,mts,2026-09-03T18:32:29+00:00,"C1: O texto apresenta inúmeros desvios gramaticais graves, como problemas severos de concordância ('falam que é são um mal'), pontuação deficitária, grafia incorreta ('agrículas', 'carcicogênicos', 'presevervação', 'agrícula') e forte marca de oralidade e repetição de palavras, revelando domínio precário da norma culta. || C2: O texto apresenta o tema dos agrotóxicos de forma compreendida, mantendo-se no escopo da proposta sem tangenciamento. A estrutura dissertativo-argumentativa está presente,"
20,320,80,80,40,80,40,120.0,160.0,120.0,120.0,40.0,560.0,1,gemini-3.5-flash-lite,mts,2026-09-03T18:33:05+00:00,"C1: O texto apresenta estrutura sintática complexa e bom domínio do registro formal, mas contém alguns desvios gramaticais e pontuais ao longo dos parágrafos, como problemas de pontuação, repetições de termos e pequenas falhas de regência e concordância. || C2: A redação apresenta o tipo textual dissertativo-argumentativo com clareza, desenvolvendo o tema proposto sobre o civismo e a obrigatoriedade do hino nas escolas sem tangenciamento. Há projeto de texto perceptível e uso produtivo de repert"
28,400,80,80,80,80,80,120.0,120.0,80.0,120.0,0.0,440.0,1,gemini-3.5-flash-lite,mts,2026-09-03T18:33:39+00:00,"C1: O texto apresenta um domínio mediano da norma culta, com desvios pontuais de pontuação (como a vírgula separando sujeito e predicado) e problemas de coesão sintática, a exemplo do uso incorreto de 'cujo o'. No entanto, a estrutura geral e a escolha vocabular mantêm a inteligibilidade do texto. || C2: O texto apresenta o tema do debate político na educação e sustenta um ponto de vista, caracterizando o tipo dissertativo-argumentativo. No entanto, a estrutura argumentativa é mediana, apresenta"
29,400,80,120,120,80,0,40.0,40.0,80.0,80.0,0.0,240.0,1,gemini-3.5-flash-lite,mts,2026-09-03T18:35:00+00:00,"C1: O texto apresenta múltiplos desvios graves de concordância, regência, pontuação, ortografia ('corupsão', 'atoa', 'Câmera'), além de uso inadequado de pronomes ('querem ela') e construções sintáticas precárias que revelam domínio muito insuficiente da norma culta. || C2: O texto apresenta um formato predominantemente expositivo e com forte traço de opinião pessoal (uso de primeira pessoa), distanciando-se da estrutura dissertativo-argumentativa exigida pelo ENEM. Além disso, a abordagem do te"
38,400,80,80,80,80,80,80.0,120.0,120.0,40.0,40.0,400.0,1,gemini-3.5-flash-lite,mts,2026-09-03T18:35:24+00:00,"C1: O texto apresenta desvios gramaticais medianos, destacando-se frequentes repetições de palavras e problemas de pontuação. A estrutura sintática é simples e contém falhas na coesão interna das frases. || C2: A redação apresenta o tema da prisão em segunda instância de forma mediana, desenvolvendo o texto sob o tipo dissertativo-argumentativo com introdução, desenvolvimento e conclusão. No entanto, há repetições de palavras e trechos que empobrecem o rigor argumentativo, mantendo a estrutura p"
