index_redacao,score,c1,c2,c3,c4,c5,pred_c1,pred_c2,pred_c3,pred_c4,pred_c5,pred_total,ok,modelo,modo,ts,raw
2,200,40,40,40,40,40,120.0,120.0,160.0,120.0,160.0,680.0,1,gemini-3.5-flash-lite,mts_fs2,2026-09-09T23:09:07+00:00,"C1: A redação apresenta boa estrutura sintática e pontuação aceitável, mas comete diversos desvios gramaticais pontuais, como ausência de acentuação ('esta', 'e', 'universidade publicas', 'piora', 'busca'), falhas de concordância e pontuação antes de orações coordenadas ou intercalações (como o uso inadequado de ponto e vírgula e espaçamentos antes de pontuação). O repertório de vocabulário e o registro formal são medianos. || C2: A redação apresenta o tema da educação no Brasil de forma compree"
5,80,80,0,0,0,0,120.0,120.0,120.0,120.0,0.0,480.0,1,gemini-3.5-flash-lite,mts_fs2,2026-09-09T23:09:49+00:00,"C1: O texto apresenta boa estrutura sintática e pontuação adequada na maior parte, mas contém desvios pontuais e repetições de palavras decorrentes de falhas na coesão e na transcrição (como 'anos anos', 'o cotidiana e o', 'contábil contábil'). Revela domínio razoável, mas insuficiente para as faixas mais altas devido a essas imprecisões formais. || C2: A redação apresenta o tema e utiliza o texto dissertativo-argumentativo com traços de progressão e defesa de ponto de vista. No entanto, o gêner"
6,80,80,0,0,0,0,120.0,120.0,120.0,80.0,0.0,440.0,1,gemini-3.5-flash-lite,mts_fs2,2026-09-09T23:10:12+00:00,"C1: A redação apresenta estrutura sintática boa e vocabulário adequado, mas comete desvios gramaticais pontuais, como a ausência de acentuação em 'tem' (que deveria ser 'têm' no plural) e falhas leves na pontuação e construção de períodos. || C2: O texto apresenta estrutura dissertativo-argumentativa com presença de tese e argumentos, compreendendo o tema da educação. No entanto, o desenvolvimento argumentativo é medianamente elaborado e há traços de opinião pessoal direta que reduzem o rigor té"
11,240,80,0,80,0,80,80.0,120.0,120.0,80.0,120.0,520.0,1,gemini-3.5-flash-lite,mts_fs2,2026-09-09T23:10:36+00:00,"C1: O texto apresenta desvios graves e recorrentes da norma culta, como problemas de pontuação (separação incorreta de sujeito e predicado por vírgula), falhas de concordância ('Os mais vulneráveis', 'Famílias são os mais'), emprego incorreto de crase ('submetem-se a à exploração') e escolha de registro por vezes informal. || C2: A redação apresenta o tema do trabalho escravo contemporâneo de forma adequada, sem tangenciamento, e desenvolve o texto predominantemente sob o tipo dissertativo-argum"
17,320,80,80,80,0,80,0.0,40.0,40.0,0.0,0.0,80.0,1,gemini-3.5-flash-lite,mts_fs2,2026-09-09T23:11:14+00:00,"C1: O texto apresenta múltiplos e graves desvios gramaticais e estruturais que comprometem severamente a modalidade escrita formal, tais como problemas graves de concordância ('os LGBT não passava', 'ninguem aceitavam', 'As manifestações está', 'cada um de nós merecemos'), desvios ortográficos e de acentuação ('A muitos anos', 'concientizar', 'descançar', 'conquita-los'), além de pontuação inadequada e falhas graves na escolha de registro. || C2: A redação apresenta um texto com graves desvios g"
18,320,80,80,40,40,80,80.0,120.0,80.0,40.0,0.0,320.0,1,gemini-3.5-flash-lite,mts_fs2,2026-09-09T23:12:08+00:00,"C1: O texto apresenta desvios gramaticais frequentes e graves, como problemas de concordância, ortografia incorreta ('carcicogênicos', 'agrículas', 'presevervação') e pontuação deficiente, além de forte marca de oralidade e repetições de palavras. || C2: A redação apresenta o tema dos agrotóxicos e desenvolve um texto dissertativo-argumentativo com tese e proposta de intervenção ao final. No entanto, o gênero é executado com traços de maior informalidade e menor densidade crítica, além de uma es"
20,320,80,80,40,80,40,120.0,160.0,120.0,120.0,120.0,640.0,1,gemini-3.5-flash-lite,mts_fs2,2026-09-09T23:12:49+00:00,"C1: O texto apresenta boa estrutura sintática e vocabulário diversificado, mas contém alguns desvios gramaticais e repetições de palavras decorrentes de falhas de reescrita (como 'ao cantá-lo', 'que em apenas poucas escolas é posta em prática que é posta em prática apenas em poucas escolas', e 'no que refere-se a vocaliza-lo se refere a vocalizá-lo'). Esses deslizes demonstram domínio mediano da modalidade escrita formal. || C2: A redação apresenta o tipo textual dissertativo-argumentativo com b"
28,400,80,80,80,80,80,120.0,120.0,80.0,80.0,40.0,440.0,1,gemini-3.5-flash-lite,mts_fs2,2026-09-09T23:13:15+00:00,"C1: A redação apresenta bom domínio da norma culta, com estrutura sintática majoritariamente correta e vocabulário adequado. No entanto, há desvios pontuais relativos à pontuação, regência e coesão, como o uso inadequado do pronome relativo em 'cujo o foco'. || C2: A redação apresenta o tema de forma clara e desenvolve um texto dissertativo-argumentativo com introdução, desenvolvimento e conclusão. No entanto, há trechos com argumentação um pouco frágil e generalizações, o que limita a nota a 12"
29,400,80,120,120,80,0,40.0,40.0,80.0,40.0,0.0,200.0,1,gemini-3.5-flash-lite,mts_fs2,2026-09-09T23:13:50+00:00,"C1: O texto apresenta precário domínio da modalidade escrita formal, com múltiplos desvios gramaticais graves, como problemas acentuados de concordância, regência, pontuação inadequada, uso recorrente de minúsculas em início de frase, além de desvios ortográficos (ex: 'corupsão', 'a' no lugar de 'há') e escolha de registro inadequada (marcas de oralidade e uso da primeira pessoa). || C2: A redação apresenta traços do tipo dissertativo-argumentativo, mas o texto carece de um projeto de texto cons"
38,400,80,80,80,80,80,80.0,120.0,80.0,80.0,80.0,440.0,1,gemini-3.5-flash-lite,mts_fs2,2026-09-09T23:14:12+00:00,"C1: O texto apresenta vários desvios gramaticais graves e marcas evidentes de oralidade e repetição de palavras (como 'com isso grande', 'se instância se torna', 'e superlotadas e', 'primeiro lugar lugar', 'além disso disso', 'maneira maneira', 'país país', 'Ou ou seja'). A estrutura sintática é comprometida em diversos trechos, evidenciando domínio mediano da norma culta. || C2: A redação apresenta o tema da prisão em segunda instância de forma compreendida, sem tangenciamento, e desenvolve um "
42,400,80,80,80,80,80,40.0,40.0,0.0,40.0,0.0,120.0,1,gemini-3.5-flash-lite,mts_fs2,2026-09-09T23:14:39+00:00,"C1: A redação apresenta múltiplos desvios gramaticais graves e estruturais, como problemas severos de pontuação que fragmentam períodos ('O tão sonhado momento chegou ' Reforma no Ensino',entretanto.'), erros crassos de ortografia e acentuação ('precária', 'ir ocorrer'), além de emprego incorreto de crase ('a uma busca', 'a um passo') e de regência, demonstrando domínio precário da modalidade escrita formal. || C2: A redação apresenta sérios problemas de estrutura dissertativo-argumentativa, lim"
49,400,80,80,80,80,80,80.0,120.0,80.0,80.0,0.0,360.0,1,gemini-3.5-flash-lite,mts_fs2,2026-09-09T23:15:00+00:00,"C1: O texto apresenta desvios graves e frequentes na norma culta, incluindo problemas de concordância (ex: 'é notório a existência'), regência, pontuação inadequada, uso de minúsculas em início de frase, além de desvios ortográficos e falhas na estrutura sintática. || C2: A redação apresenta o tipo textual dissertativo-argumentativo, com tese e desenvolvimento voltados para a questão do machismo e da religiosidade, mas a estrutura argumentativa apresenta trechos com forte tom de questionamento p"
50,400,80,80,80,80,80,120.0,120.0,120.0,120.0,160.0,640.0,1,gemini-3.5-flash-lite,mts_fs2,2026-09-09T23:15:42+00:00,"C1: A redação apresenta boa estrutura sintática e vocabulário adequado, mas contém desvios pontuais de gramática e convenções da escrita, como falhas de espaçamento após a pontuação (ex: 'Saramago,na', 'sociedade,fazendo', 'educação,onde'), ausência de crase e problemas de concordância ('as bases de ensino não estão preparados'). O registro formal é predominantemente mantido. || C2: A redação apresenta o tema da reforma do Ensino Médio e desenvolve um texto dissertativo-argumentativo com introdu"
54,440,80,120,80,80,80,80.0,120.0,80.0,80.0,160.0,520.0,1,gemini-3.5-flash-lite,mts_fs2,2026-09-09T23:16:22+00:00,"C1: O texto apresenta desvios gramaticais graves e frequentes, como erros de pontuação (vírgula separando sujeito e predicado), problemas de concordância ('maiores acesso acessos') e regência, além de estrutura frasal truncada e repetições vocabulares que demonstram domínio precário da modalidade escrita formal. || C2: A redação apresenta o tema da apropriação cultural no Carnaval e compreende o tipo textual dissertativo-argumentativo, desenvolvendo uma tese com argumentos ao longo do texto. No "
