index_redacao,score,c1,c2,c3,c4,c5,pred_c1,pred_c2,pred_c3,pred_c4,pred_c5,pred_total,ok,modelo,modo,ts,raw
2,200,40,40,40,40,40,120.0,120.0,160.0,120.0,120.0,640.0,1,gemini-3.5-flash-lite,mts_fs,2026-09-08T09:53:17+00:00,"C1: O texto apresenta boa estrutura sintática e pontuação adequada na maior parte, mas comete diversos desvios gramaticais pontuais, como ausência de acentuação gráfica ('é' em vez de 'e', 'universidade publicas', 'renumeração'), problemas de concordância ('frases mais conhecida', 'índice de jovens... e alarmante') e falhas de regência ('vão busca melhores condição'). O registro formal é predominantemente mantido. || C2: A redação apresenta o gênero dissertativo-argumentativo, com tese, desenvol"
5,80,80,0,0,0,0,120.0,120.0,120.0,120.0,0.0,480.0,1,gemini-3.5-flash-lite,mts_fs,2026-09-08T09:55:00+00:00,"C1: O texto apresenta boa estrutura sintática e pontuação adequada em grande parte, mas contém alguns desvios gramaticais pontuais e repetições de palavras decorrentes de falhas na coesão e na construção formal (como redundâncias na digitação/elaboração das frases). Demonstra domínio medianamente autônomo da norma culta. || C2: O texto apresenta o tema das criptomoedas de forma compreendida e utiliza o tipo textual dissertativo-argumentativo com presença de projeto de texto e argumentação. No en"
6,80,80,0,0,0,0,120.0,120.0,120.0,80.0,0.0,440.0,1,gemini-3.5-flash-lite,mts_fs,2026-09-08T09:56:54+00:00,"C1: A redação apresenta estrutura sintática boa e vocabulário adequado, mas com desvios gramaticais pontuais, como problemas de concordância ('governantes vem cometendo' sem acento diferencial no plural), regência e uso de crase ('os que tem' em vez de 'têm'). O registro é predominantemente formal, embora com leves marcas de coloquialidade. || C2: A redação apresenta o tipo textual dissertativo-argumentativo com o desenvolvimento de um tema da área educacional, contendo partes argumentativas e o"
11,240,80,0,80,0,80,80.0,120.0,80.0,80.0,80.0,440.0,1,gemini-3.5-flash-lite,mts_fs,2026-09-08T09:59:08+00:00,"C1: O texto apresenta desvios graves e recorrentes da norma culta, como problemas de pontuação (separação incorreta de sujeito e predicado por vírgula), falhas de concordância ('Os mais vulneráveis a exploração'), regência ('submetem-se a à') e uso de expressões informais ou inadequadas para o registro formal. || C2: A redação apresenta o tema do trabalho escravo contemporâneo de forma adequada, compreendendo a proposta e utilizando o tipo dissertativo-argumentativo, embora com traços expositivo"
17,320,80,80,80,0,80,40.0,40.0,40.0,0.0,0.0,120.0,1,gemini-3.5-flash-lite,mts_fs,2026-09-08T10:00:27+00:00,"C1: O texto apresenta múltiplos e graves desvios gramaticais, como ausência de acentuação ('a muitos anos', 'ninguem', 'concientizar'), erros crassos de concordância ('não passava', 'as manifestações está', 'merecemos ser'), pontuação inadequada e falhas graves no registro formal da língua portuguesa. || C2: A redação apresenta sérios desvios gramaticais e sintáticos, além de demonstrar uma estrutura dissertativa-argumentativa muito embrionária e frágil. Embora tangencie o tema da aceitação da p"
18,320,80,80,40,40,80,80.0,120.0,80.0,40.0,0.0,320.0,1,gemini-3.5-flash-lite,mts_fs,2026-09-08T10:01:40+00:00,"C1: O texto apresenta desvios gramaticais frequentes e graves, como problemas de concordância ('que é são'), ortografia incorreta ('carcicogênicos', 'presevervação', 'agrícula'), pontuação inadequada que prejudica a fluidez e repetições vocabulares excessivas, demonstrando domínio precário da norma culta. || C2: O texto apresenta o tema dos agrotóxicos e desenvolve um texto dissertativo-argumentativo com partes de boa argumentação e tentativa de defesa de ponto de vista, embora apresente traços "
20,320,80,80,40,80,40,120.0,120.0,120.0,120.0,120.0,600.0,1,gemini-3.5-flash-lite,mts_fs,2026-09-08T10:03:53+00:00,"C1: O texto apresenta boa estrutura sintática e pontuação adequada, mas comete alguns desvios gramaticais pontuais e repetições de palavras decorrentes de falhas de revisão (como 'ao cantá-lo', 'que é posta em prática apenas em poucas escolas', 'direitos cidadãs'). Demonstra domínio medianamente bom da modalidade escrita formal. || C2: O texto apresenta estrutura dissertativo-argumentativa com introdução, desenvolvimento e conclusão, além de desenvolver o tema de forma pertinente. No entanto, o "
28,400,80,80,80,80,80,120.0,120.0,80.0,80.0,40.0,440.0,1,gemini-3.5-flash-lite,mts_fs,2026-09-08T10:04:28+00:00,"C1: O texto apresenta bom domínio da norma culta, com desvios pontuais de concordância e pontuação (como a vírgula separando o sujeito do predicado e a ausência de crase). O vocabulário e a estrutura sintática são adequados, mas há pequenas falhas de construção e coesão que impedem notas mais altas. || C2: A redação desenvolve o tema proposto dentro do gênero dissertativo-argumentativo, apresentando tese e argumentos. No entanto, o texto apresenta traços de projeto de texto incompleto e argument"
29,400,80,120,120,80,0,40.0,40.0,80.0,40.0,0.0,200.0,1,gemini-3.5-flash-lite,mts_fs,2026-09-08T10:05:51+00:00,"C1: O texto apresenta precário domínio da modalidade escrita formal, com múltiplos desvios gramaticais graves, como problemas acentuados de concordância, regência, pontuação inadequada, ausência de letras maiúsculas em início de frase, além de ortografia incorreta ('corupsão', 'atenção' em vez de 'até') e escolha de registro informal (uso da 1ª pessoa 'eu como estudante'). || C2: A redação apresenta traços do tipo dissertativo-argumentativo, mas o texto é fortemente marcado por um tom opinativo "
38,400,80,80,80,80,80,80.0,120.0,80.0,120.0,0.0,400.0,1,gemini-3.5-flash-lite,mts_fs,2026-09-08T10:06:59+00:00,"C1: O texto apresenta vários desvios gramaticais e estruturais graves, destacando-se a presença de repetições excessivas de palavras ('com isso grande', 'primeiro lugar lugar', 'dessa maneira maneira', 'país país') e problemas graves de pontuação e paralelismo sintático. Esses erros demonstram um domínio mediano da norma culta, aproximando-se do nível 80 da escala do ENEM. || C2: A redação apresenta o tema da prisão em segunda instância de forma compreendida, sem fugir da proposta, e utiliza o t"
