comp,band,score_comp,essay
C1,0,0,"Antes de qualquer coisa temos que saber qual é o histórico do jornal Charlie Hebdo. Um jornal satírico, humor gratuito sempre atacando o islamismo, judaísmo e o catolicismo. Liberdade de expressão sim, mas sem ofender.', 'Faz tempo que o jornal vem desrespeitando a religião islâmica. Algumas de suas publicações como, representando o profeta Maóme (o que é extremamente proibido); chamando o Alcorão de merda (livro sagrado dos muçulmanos); uma série de ofensas contra o Islã. Insultar seria liberdade de expressão?!', 'O jornal queria chamar a atenção e conseguiu, atacando, chocando com imagens tão fortes, denegrindo a imagem da religião. Eles fazem tudo isso, depois querem se defender usando como critério a liberdade de se expressar, questionado a população. Entretanto eles desprezam outras r"
C1,40,40,"A Constituição da República Federativa do Brasil de 1988, que define os direitos e deveres dos cidadãos cidadãos, garante entre os demais símbolos o hino nacional brasileiro.', 'No entanto, a dubiedade em diversos setores da sociedade, não oculta o valor que que, além de cultural e ainda histórico histórico, possui o ato de cantar o hino nacional do Brasil.', 'Ante os fatos apontados, a relevante cultura de saudar o país por meio de seus símbolos denota não apenas um gesto moral e popular de patriotismo nobre, mas ainda convém citar como já dizia citar Frederich Friedrich Nietzche: ""A moralidade é a melhor das regras para orientar a humanidade"".', 'Uma vez que, urge similarmente relatar o contexto histórico que, assim sendo, representa as grandes glorias glórias do passado bem como se repr"
C1,80,80,"A posse de arma é quando uma pessoa tem tanto em sua casa, como em uma chácara ou até mesmo em um local de trabalho uma arma de fogo. O mesmo se aplica para os acessórios e munições. Caso a posse seja ilegal, o tempo estimado de prisão é de até 6 anos, além também do pagamento de uma multa.', 'Em 2005, foi feito um referendo a favor da posse de armas, onde chegaram a uma conclusão de que 64% da população estava sim a favor do acesso facilitado a armas de fogo.', 'Com a legalização da posse, a população brasileira terá uma maior facilidade em alguns recursos onde a ampliação da validade do documento foi feita de 5 para 10 anos, possibilitando assim uma facilidade maior com que os armamentos se mantenham legalizados.', 'Segundo a Revista Época: “Armas estão entre os bens mais valorizados por"
C1,120,120,"A situação carcerária no Brasil retrata diariamente a incompetência do estado em cumprir a ideia principal dos presídios, a ressocialização. Segundo a constituição federal o governo em seu papel de organização matriz tem o dever e a responsabilidade de prover segurança e meios de ressocialização para detentos e detentas de todas os presídios do país.', 'Segundo o Projeto Sistema Prisional em Números 44,64% das unidades brasileiras não oferecem aos internos assistência educacional, o que é uma afronta a constituição, visto que, a educação é o ´único meio que efetivamente pode libertar e recriar o individuo como cidadão. Outro ponto importante a se dizer é que a superlotação dos presídios só agrava mais o estado alarmante que se encontra o sistema carcerário do país, pois os presos passando "
C1,160,160,"O conceito de ""banalidade do mal"" criado pela filósofa alemã Hannah Arendt afirma que quando uma atitude hostil é repetida com frequência a sociedade para de vê-la como errônea. Atualmente,com a propagação da utilização em excesso das redes sociais, as consequências de tal se tornarem banais perante o corpo social. Dessa forma, os impactos virtuais perpetuam pela insuficiência da saúde pública e a distorção midiática.', 'Primordialmente, é necessário expor a impunidade do problema. De acordo com Thomas Hobbes é dever do Estado garantir o bemestar da população,o que não ocorre no Brasil. Nessa perspectiva, com o aumento do consumo das redes sociais a busca por tratamentos psicológicos públicos elevou, porém são ineficientes pois segundo a revista ""Veja"" 86% da população brasileira possui de"
C1,200,200,"O movimento ""Let Her Run"" trata de um assunto de relevância no mundo dos esportes. Refere-se ao caso da corredora sul-africana Semenya, que foi banida das competições de 2019 por apresentar níveis de testosterona superiores ao permitido, causados por uma disfunção hormonal. Tal situação foi alvo de polêmicas por dividir opiniões acerca do caso.', 'A princípio, é preciso discorrer sobre os argumentos a favor da decisão de banir a atleta. Essas opiniões são baseadas em pareceres de médicos especialistas, que afirmam que a testosterona favorece a musculatura e aumenta o desempenho em atividades esportivas. Diante disso, a condição de Semenya poderia acarretar uma disputa desigual em relação às outras corredoras. Há outros casos similares, como o da jogadora de vôlei Tiffany, a primeira atleta"
C2,0,0,"Muitos povos já foram escravizados durante a história brasileira: os índios, os negros e seus decentes e imigrantes de diversas nacionalidade. Após décadas da abolição, o trabalho escravo ainda acontece nos dias atuais, o qual abrange pessoas em vulnerabilidade social.', 'É importante pontuar de início como, a escravidão moderna é um fato atual que afeta 45,8 milhões de pessoas em todo o mundo. As consequências desse tipo de prática são danosas para toda a população. Muitas crianças que poderiam estar estudando, jovens se profissionalizando e consequentemente, contribuindo para a evolução do país estão condenados a essa situação indígena.', 'É fundamental pontuar ainda, as situações hediondas que essas pessoas vem passando, como o tráfico de pessoas, a exploração sexual, o recrutamento de "
C2,40,40,"O contingenciamento das verbas das universidades federais que foi anunciada anunciado pelo governo, prejudicou governo prejudicou vários setores. Gastos como contas de luz, água, compra de material básico, contratação de terceirizados e realização de pesquisas. Quase 5,8 bilhões foram bloqueados.', 'Hoje no Brasil existem quatro programas importantes para ajudar os estudantes a ingressar no ensino superior. São eles: Sisu, ProUni, Fies, Enem. Os dados gerais nacionais mostram que, nas universidades federais, 50,6% dos estudantes são de escolas públicas.', 'Estudantes, desde o jardim ao ensino médio, são preparados para concorrer a essas vagas. Questão essa, que foi discutida pelo governador da Bahia, que para melhorar o investimento em vários setores no Brasil, segundo ele, os pais de alun"
C2,80,80,"As doenças sexualmente transmissíveis são doenças transmitidas principalmente por relações sexuais, sem o uso de preservativo, também podem ser transmitidas através de transfusões de sangue de pessoas que possuem a doença, o contato com feridas infectadas, entre o outros. A doença possui vários sintomas; feridas, corrimentos, bolhas; podendo também não apresentar sintomas aparentes.', 'm dos motivos do aumento excessivo de casos dessas doenças é a ingressão dos jovens na atividade sexual muito cedo, e muitas vezes sem nenhuma orientação; pois muitos deles não tm a oportunidade de ter uma conversa aberta com seus pais ou com pessoas que poderiam melhor orienta-lo sobre o assunto; há também jovens que se revoltam por possuir a doença e acabam transmitindo-a propositalmente.', 'A sociedade ve"
C2,120,120,"Desde a quarta Revolução Industrial, o mundo vem se curvando para uma perspectiva distópica em que as máquinas substituirão o trabalho dos homens e mulheres. Entretanto, o que acontece na contemporaneidade, é contemporaneidade é a atenção para as necessidades humanas no trabalho.', 'Um dos marcos do meio trabalhista no século XXI, é XXI é o surgimento dos coachings. Inicialmente, uma área da psicologia que visa o treinamento do controle emocional do ser humano que atua como profissional. A presença desses psicólogos em empresas se tornou mais frequente, pois, é pois é imprescindível que para que se atinja que, para se atingir um nível qualificado de um serviço ou produto, é preciso enxergar o trabalhador como gente, contrariando o mesmo como sendo uma máquina de força bruta não como máquin"
