index_redacao,score,c1,c2,c3,c4,c5,pred_c1,pred_c2,pred_c3,pred_c4,pred_c5,pred_total,ok,modelo,modo,ts,raw
20,320,80,80,40,80,40,80.0,160.0,120.0,120.0,0.0,480.0,1,gemini-3.5-flash-lite,mts2,2026-09-04T16:54:44+00:00,"C1: O texto apresenta um número expressivo de desvios gramaticais e estruturais, incluindo falhas graves de pontuação, concordância, regência e repetições decorrentes de problemas na elaboração sintática. Esses desvios demonstram domínio mediano da norma culta escrita, justificando a nota 80 na competência 1. || C2: A redação apresenta o tipo textual dissertativo-argumentativo com clareza, contendo tese, desenvolvimento e proposta de intervenção, além de repertório sociocultural produtivo (Regim"
28,400,80,80,80,80,80,120.0,120.0,80.0,120.0,0.0,440.0,1,gemini-3.5-flash-lite,mts2,2026-09-04T16:58:01+00:00,"C1: O texto apresenta alguns desvios gramaticais e de convenções da escrita, como o uso incorreto de 'cujo o' e problemas de pontuação e maiúsculas. No entanto, tais falhas não comprometem de forma grave a compreensão global nem a estrutura sintática principal, situando-se no nível adequado para a nota 120. || C2: O texto apresenta estrutura dissertativo-argumentativa com introdução, desenvolvimento e conclusão, além de desenvolver o tema central. No entanto, há um tangenciamento parcial no terc"
42,400,80,80,80,80,80,40.0,40.0,40.0,40.0,0.0,160.0,1,gemini-3.5-flash-lite,mts2,2026-09-04T17:09:08+00:00,"C1: O texto apresenta desvios sistemáticos e graves em vários subitens da norma culta, como uso incorreto de verbos impessoais, falhas graves de pontuação (vírgulas separando termos que não devem ser separados), crase, concordância e coesão referencial. Tais desvios demonstram domínio precário da estrutura sintática e da modalidade escrita formal. || C2: O texto apresenta um domínio precário do tipo textual dissertativo-argumentativo, com forte traço de oralidade, pontuação inadequada e ausência"
49,400,80,80,80,80,80,40.0,120.0,80.0,80.0,0.0,320.0,1,gemini-3.5-flash-lite,mts2,2026-09-04T17:14:08+00:00,"C1: O texto apresenta desvios sistemáticos graves e recorrentes de concordância, regência, pontuação, ortografia e inadequação ao registro formal exigido pelo ENEM. A densidade de falhas gramaticais e estruturais compromete severamente a norma culta da língua escrita, justificando a nota 40 na competência 1. || C2: O texto apresenta o tema do machismo estruturado na religião e desenvolve o tipo dissertativo-argumentativo, embora com marcas evidentes de oralidade, desvios na estrutura sintática e"
50,400,80,80,80,80,80,80.0,120.0,120.0,120.0,160.0,600.0,1,gemini-3.5-flash-lite,mts2,2026-09-04T17:18:07+00:00,"C1: O texto apresenta muitos desvios gramaticais de diversas naturezas, como problemas pontuais de pontuação, concordância, regência e emprego de recursos coesivos, além de inadequações ortográficas e estruturais que demonstram domínio mediano da norma culta. || C2: O texto apresenta o tema da reforma do Ensino Médio de forma compreendida e desenvolve o tipo dissertativo-argumentativo com introdução, desenvolvimento e conclusão. No entanto, há presenças de projeto de texto mediana e falhas pontu"
57,440,80,120,80,80,80,80.0,120.0,80.0,80.0,0.0,360.0,1,gemini-3.5-flash-lite,mts2,2026-09-04T17:25:06+00:00,"C1: O texto apresenta muitos desvios gramaticais e ortograficos, como ausencia de acentos (proprio, publicas, politico, prospero, glria), problemas de pontuacao, desvios de concordancia (toda as sociedades) e falhas de regencia/crase. Tais ocorrencias reduzem a nota para o nivel de muitos desvios. || C2: O texto apresenta o tema da reforma do ensino médio dentro do tipo dissertativo-argumentativo, com tese e argumentação perceptíveis. No entanto, o repertório legitimado é escasso ou ausente, lim"
61,480,80,120,80,80,120,120.0,120.0,120.0,120.0,160.0,640.0,1,gemini-3.5-flash-lite,mts2,2026-09-04T17:30:04+00:00,"C1: O texto apresenta alguns desvios gramaticais e de convenções da escrita, como problemas de acentuação, pontuação inadequada e concordância, mas que não chegam a comprometer a compreensão global da mensagem. A densidade de desvios justifica a nota 120 segundo os critérios oficiais do ENEM para a Competência 1. || C2: O texto apresenta estrutura dissertativo-argumentativa com introdução, desenvolvimento e conclusão, além de desenvolver o tema dentro dos limites propostos. No entanto, há oscila"
65,480,80,80,120,120,80,80.0,40.0,40.0,80.0,120.0,360.0,1,gemini-3.5-flash-lite,mts2,2026-09-04T17:35:09+00:00,"C1: O texto apresenta múltiplos desvios gramaticais de pontuação, concordância e estrutura sintática ao longo dos parágrafos, revelando instabilidade no domínio da norma culta escrita que prejudica a fluidez da leitura. A densidade e a natureza dessas falhas situam a redação na faixa de 80 pontos segundo os critérios do ENEM. || C2: O texto apresenta um domínio precário do tipo dissertativo-argumentativo, caracterizando-se predominantemente por traços de projeto de texto frágil e argumentação in"
66,520,80,120,80,120,120,120.0,120.0,80.0,120.0,0.0,440.0,1,gemini-3.5-flash-lite,mts2,2026-09-04T17:38:51+00:00,"C1: O texto apresenta alguns desvios gramaticais e pontuais, como falhas de pontuação, regência e concordância, mas que não chegam a comprometer a compreensão global da mensagem. A estrutura sintática é predominantemente correta, garantindo a nota 120 na competência 1. || C2: A redação apresenta o tema da valorização do professor no Brasil de forma compreendida, mantendo-se dentro dos limites propostos sem tangenciamento. O tipo textual dissertativo-argumentativo é desenvolvido com introdução, a"
72,520,80,120,120,80,120,80.0,120.0,120.0,120.0,160.0,600.0,1,gemini-3.5-flash-lite,mts2,2026-09-04T17:41:27+00:00,"C1: O texto apresenta muitos desvios gramaticais de pontuação, regência, crase e falhas de paralelismo e coesão sintática ao longo dos parágrafos. A densidade e a gravidade dessas falhas justificam a atribuição da nota 80 na competência 1. || C2: A redação apresenta o tema da automedicação e desenvolve o texto predominantemente no tipo dissertativo-argumentativo, com presença de projeto de texto e introdução, desenvolvimento e conclusão. No entanto, há falhas pontuais na estrutura argumentativa "
